Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
ESTR4,209,-063,-003,0110,"0,00%",57,-003,-264,-2,-1557,-2217,"-4,15%","-17,37%",16,"-2,38%","4,73%","1.574,29","-566.515.000,00",-015,"9,33%"
AGXY3,124,-062,045,0042,"0,00%",48,-072,-493,-20,-2132,1475,"-0,86%","-6,97%",91,"-1,92%","-72,76%","952.953,00","705.136.000,00",205,"19,51%"
TRAD3,355,-061,057,2826,"0,00%",515,189,-249,205,-147,-224,"-113,30%","-465,47%",448,"-26,61%","-94,30%","491.615,00","247.969.000,00",001,"-30,18%"
PCAR3,321,-061,036,0082,"0,00%",79,851,119,-16,252,135,"6,95%","-13,51%",103,"8,86%","-59,80%","45.590.500,00","4.331.000.000,00",098,"-35,22%"
BRPR3,13117,-057,005,0695,"1.202,89%",38,173,1211,-49,-370,-255,"5,74%","-123,98%",112,"0,35%","-9,34%",000,"1.136.910.000,00",007,"-25,05%"
CTSA8,100,-057,012,0258,"0,00%",44,054,-048,-13,-348,-428,"-54,35%","-45,69%",137,"-10,65%","-21,36%",000,"230.512.000,00",091,"-24,78%"
RDNI3,327,-056,043,0359,"0,00%",84,055,-130,-22,-599,-633,"-27,58%","-64,03%",159,"-6,83%","-75,90%","22.956,70","333.829.000,00",173,"9,72%"
PLAS3,611,-056,-016,0074,"0,00%",111,-027,918,-8,3950,504,"0,80%","-13,13%",45,"1,45%","29,28%","7.154,60","-461.820.000,00",-060,"30,18%"
FRTA3,131,-049,-004,0357,"0,00%",88,-003,-068,-3,-1774,-1874,"-52,65%","-72,29%",3,"-18,02%","7,17%",000,"-75.884.000,00",-089,"-6,51%"
REEM4,463,-048,-008,0197,"0,00%",137,-014,-433,-7,-384,-601,"-4,54%","-40,65%",45,"4,61%","15,78%",000,"-372.708.000,00",000,"-13,59%"
CCXC3,116,-048,-004,0000,"0,00%",185,000,-065,0,-052,-052,"0,00%","0,00%",0,"0,00%","7,85%",000,"-52.699.000,00",000,"0,00%"
CTNM3,713,-046,091,0182,"0,00%",66,-022,-054,-12,-327,-443,"-33,48%","-70,52%",49,"-14,43%","-197,20%",22902,"240.294.000,00",543,"-4,20%"
AZUL4,760,-041,-010,0142,"0,00%",116,-021,099,-6,1183,619,"14,35%","-34,75%",28,"14,75%","24,80%","136.204.000,00","-26.166.600.000,00",-117,"27,34%"
DOCA3,1100,-040,-003,-3064,"0,00%",30,-032,-026,-2,-686,-676,"1.165,92%","636,17%",61,"-12,48%","8,24%",000,"-390.317.000,00",-082,"-38,80%"
FGUI4,038,-039,-007,0507,"0,00%",798,-007,-183,-6,-1424,-1424,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
